time,angle,time,speed,time,accelerator position,time,brake position
120.001220096,-6.9,120.013100032,46.68125,120.013590016,7,120.0135900160,0
120.011209984,-6.9,120.032850176,46.68125,120.113960192,7,120.1139601920,0
120.021220096,-6.9,120.053090048,46.75,120.41371008,10,120.4137100800,0
120.031220224,-6.9,120.073090048,46.81875,120.513960192,11,120.5139601920,0
120.041220096,-6.9,120.093090048,46.68125,120.61446016,11,120.6144601600,0
120.051209984,-6.9,120.112830208,46.54375,120.71408,11,120.7140800000,0
120.061210112,-6.9,120.133090048,46.54375,120.813960192,10,120.8139601920,0
120.071220224,-6.9,120.153090048,46.68125,121.01371008,4,121.0137100800,0
120.081220096,-6.8,120.172840192,46.75,121.114579968,3,121.1145799680,0
120.091219968,-6.8,120.192830208,46.75,121.21483008,2,121.2148300800,0
120.101210112,-6.8,120.213210112,46.75,121.514700032,8,121.5147000320,0
120.111209984,-6.8,120.233090048,46.75,121.814330112,8,121.8143301120,0
120.121220096,-6.8,120.252840192,46.68125,122.115330048,9,122.1153300480,0
120.131219968,-6.8,120.273090048,46.68125,122.21419008,8,122.2141900800,0
120.141220096,-6.8,120.293080064,46.6125,122.314700032,7,122.3147000320,0
120.151209984,-6.7,120.312840192,46.75,122.51494016,4,122.5149401600,0
120.161210112,-6.8,120.333090048,46.75,122.614200064,4,122.6142000640,0
120.171219968,-6.8,120.353090048,46.81875,122.715320064,4,122.7153200640,0
120.181220096,-6.8,120.373090048,46.81875,123.116450048,4,123.1164500480,0
120.191220224,-6.8,120.392840192,46.8875,123.214440192,4,123.2144401920,0
120.20123008,-6.7,120.413080064,46.8875,123.31632,6,123.3163200000,0
120.211209984,-6.7,120.433100032,46.8875,123.71531008,10,123.7153100800,0
120.221220096,-6.7,120.453080064,46.81875,123.81531008,10,123.8153100800,0
120.231209984,-6.8,120.472840192,46.75,123.915320064,11,123.9153200640,0
120.241210112,-6.7,120.493210112,46.95625,124.016440064,11,124.0164400640,0
120.251219968,-6.8,120.512830208,46.8875,124.11632,9,124.1163200000,0
120.26134016,-6.7,120.532840192,46.81875,124.51643008,4,124.5164300800,0
120.271209984,-6.7,120.553080064,46.81875,124.81643008,4,124.8164300800,0
120.28134016,-6.7,120.57296,46.95625,124.916310016,3,124.9163100160,0
120.291340032,-6.7,120.592830208,47.025,125.016550144,3,125.0165501440,0
120.301350144,-6.6,120.612830208,47.025,125.11643008,4,125.1164300800,0
120.311340032,-6.6,120.633090048,46.75,125.516550144,7,125.5165501440,0
120.32134016,-6.6,120.653080064,46.81875,125.716550144,7,125.7165501440,0
120.331340032,-6.6,120.672830208,46.8875,125.91643008,6,125.9164300800,0
120.34134016,-6.5,120.693090048,46.8875,126.0168,6,126.0168000000,0
120.351340032,-6.5,120.712950016,46.95625,126.116680192,6,126.1166801920,0
120.36134016,-6.5,120.733080064,47.025,126.716680192,11,126.7166801920,0
120.371340032,-6.5,120.752720128,47.09375,126.81654016,12,126.8165401600,0
120.381360128,-6.5,120.773210112,47.025,126.916420096,12,126.9164200960,0
120.391350016,-6.4,120.793080064,47.025,127.01654016,12,127.0165401600,0
120.40134016,-6.4,120.812830208,46.95625,127.116790016,12,127.1167900160,0
120.411330048,-6.3,120.83296,47.025,127.216659968,12,127.2166599680,0
120.42134016,-6.3,120.853080064,47.025,127.316530176,12,127.3165301760,0
120.431340032,-6.2,120.872710144,47.025,127.416420096,12,127.4164200960,0
120.44134016,-6.2,120.892830208,47.025,127.516420096,11,127.5164200960,0
120.451340032,-6.1,120.91296,47.025,127.616410112,11,127.6164101120,0
120.46134016,-6,120.932830208,47.1625,127.716790016,11,127.7167900160,0
120.471340032,-6,120.952710144,47.09375,127.816410112,10,127.8164101120,0
120.48134016,-5.9,120.973080064,46.95625,127.916790016,10,127.9167900160,0
120.491340032,-5.8,120.99296,46.95625,128.01654016,10,128.0165401600,0
120.501350144,-5.8,121.013080064,47.025,128.116410112,10,128.1164101120,0
120.511340032,-5.8,121.032710144,47.025,128.21691008,11,128.2169100800,0
120.52134016,-5.8,121.053210112,47.025,128.316290048,12,128.3162900480,0
120.531340032,-5.8,121.072710144,47.09375,128.41654016,13,128.4165401600,0
120.541330176,-5.7,121.092710144,47.09375,128.516280064,13,128.5162800640,0
120.551340032,-5.7,121.112710144,47.025,128.616659968,15,128.6166599680,0
120.56134016,-5.7,121.132950016,46.8875,128.71654016,16,128.7165401600,0
120.571330048,-5.7,121.152720128,46.81875,128.816530176,16,128.8165301760,0
120.581350144,-5.7,121.17270016,47.025,128.916280064,16,128.9162800640,0
120.591340032,-5.7,121.192950016,47.025,129.016649984,16,129.0166499840,0
120.601400064,-5.7,121.212710144,47.025,129.116530176,14,129.1165301760,0
120.611330048,-5.7,121.232710144,47.025,129.216530176,10,129.2165301760,0
120.62134016,-5.7,121.252950016,47.025,129.716649984,9,129.7166499840,0
120.631340032,-5.7,121.272950016,47.025,130.21627008,6,130.2162700800,0
120.641330176,-5.6,121.293080064,47.025,130.316400128,3,130.3164001280,0
120.651340032,-5.6,121.31270016,47.025,130.516649984,3,130.5166499840,0
120.66134016,-5.5,121.333080064,46.95625,130.616520192,5,130.6165201920,0
120.671340032,-5.5,121.35270016,47.025,130.816649984,8,130.8166499840,0
120.68134016,-5.4,121.37270016,47.025,131.416510208,2,131.4165102080,0
120.691350016,-5.4,121.39270016,47.025,131.516390144,1,131.5163901440,0
120.70134016,-5.4,121.41296,47.025,131.61627008,0,131.6162700800,0
120.711330048,-5.4,121.432710144,47.09375,131.716760064,0,131.7167600640,0
120.721330176,-5.3,121.45270016,47.09375,131.816390144,0,131.8163901440,0
120.731340032,-5.2,121.472950016,47.025,131.916260096,1,131.9162600960,0
120.741330176,-5.1,121.49270016,46.8875,132.016500224,2,132.0165002240,0
120.751330048,-5.1,121.51270016,46.95625,132.116260096,11,132.1162600960,0
120.76134016,-5,121.53296,47.025,132.216630016,12,132.2166300160,0
120.771340032,-4.9,121.552950016,47.1625,132.31638016,13,132.3163801600,0
120.78134016,-4.8,121.57270016,47.23125,132.416009984,13,132.4160099840,0
120.791340032,-4.8,121.59270016,47.23125,132.516260096,14,132.5162600960,0
120.80134016,-4.7,121.61307008,47.3,132.61638016,14,132.6163801600,0
120.811330048,-4.6,121.63270016,47.23125,132.71638016,14,132.7163801600,0
120.821330176,-4.6,121.65270016,47.09375,132.816510208,14,132.8165102080,0
120.831340032,-4.5,121.67270016,47.025,132.91638016,14,132.9163801600,0
120.84134016,-4.5,121.692950016,47.23125,133.016500224,14,133.0165002240,0
120.851330048,-4.5,121.71270016,47.3,133.116130048,15,133.1161300480,0
120.86134016,-4.5,121.732710144,47.23125,133.216,15,133.2160000000,0
120.871340032,-4.5,121.75270016,47.23125,133.31638016,15,133.3163801600,0
